key,attribute and pattern recognition,spatial reasoning,generative counting,perceptual counting,attribute binding,logical reasoning,arithmetic reasoning,geometric and graph reasoning,constraint reasoning,irrelevant-context robustness,character-level manipulation,world knowledge,object-centric,abstract reasoning,language and knowledge,model_type
LM,1.0,10.0,0.0,1.0,0.0,17.0,18.0,7.0,6.0,7.0,31.0,11.0,12.0,48.0,49.0,
VLM,6.0,16.0,0.0,21.0,0.0,17.0,22.0,11.0,7.0,7.0,32.0,13.0,43.0,57.0,52.0,
GEN,0.0,37.0,18.0,0.0,30.0,1.0,0.0,7.0,2.0,1.0,0.0,6.0,85.0,10.0,7.0,
ALL,6.0,53.0,18.0,21.0,30.0,18.0,22.0,18.0,9.0,8.0,32.0,19.0,128.0,67.0,59.0,
gemini-2.5-flash-image,,29.73%,38.89%,,40.00%,0.00%,,0.00%,0.00%,100.00%,,50.00%,35.29%,0.00%,57.14%,GEN
gemini-3-pro-image-preview,,54.05%,61.11%,,73.33%,0.00%,,42.86%,50.00%,100.00%,,66.67%,62.35%,40.00%,71.43%,GEN
gemini-3.1-flash-image-preview,,64.86%,55.56%,,60.00%,0.00%,,57.14%,0.00%,100.00%,,83.33%,61.18%,40.00%,85.71%,GEN
gpt-image-1-mini,,21.62%,33.33%,,46.67%,0.00%,,0.00%,0.00%,100.00%,,0.00%,32.94%,0.00%,14.29%,GEN
gpt-image-1.5,,51.35%,50.00%,,63.33%,0.00%,,14.29%,0.00%,100.00%,,33.33%,55.29%,10.00%,42.86%,GEN
gpt-image-2,,54.05%,66.67%,,66.67%,0.00%,,14.29%,0.00%,100.00%,,83.33%,61.18%,10.00%,85.71%,GEN
zai-org/GLM-4.7,0.00%,62.50%,,0.00%,,67.65%,68.06%,71.43%,37.50%,64.29%,54.84%,68.18%,52.08%,64.58%,59.18%,LM
zai-org/GLM-5,75.00%,60.00%,,0.00%,,57.35%,66.67%,78.57%,41.67%,85.71%,57.26%,84.09%,56.25%,61.98%,67.35%,LM
zai-org/GLM-5.1,50.00%,62.50%,,0.00%,,54.41%,63.89%,85.71%,45.83%,85.71%,67.74%,86.36%,56.25%,61.46%,74.49%,LM
zai-org/GLM-5.2,50.00%,72.50%,,0.00%,,75.00%,73.61%,85.71%,41.67%,78.57%,73.39%,84.09%,64.58%,71.88%,76.53%,LM
deepseek-ai/DeepSeek-V4-Flash,0.00%,62.50%,,0.00%,,73.53%,68.06%,82.14%,45.83%,57.14%,72.58%,63.64%,52.08%,69.27%,68.37%,LM
deepseek-ai/DeepSeek-V4-Pro,0.00%,65.00%,,0.00%,,64.71%,73.61%,82.14%,33.33%,71.43%,75.00%,84.09%,54.17%,66.67%,76.53%,LM
openai/gpt-oss-20b,0.00%,55.00%,,0.00%,,51.47%,59.72%,71.43%,33.33%,53.57%,52.42%,40.91%,45.83%,55.21%,50.00%,LM
openai/gpt-oss-120b,0.00%,55.00%,,0.00%,,66.18%,66.67%,85.71%,50.00%,57.14%,59.68%,43.18%,45.83%,67.19%,55.61%,LM
Qwen/Qwen3-Next-80B-A3B-Thinking,0.00%,62.50%,,0.00%,,66.18%,66.67%,82.14%,33.33%,50.00%,56.45%,54.55%,52.08%,64.58%,55.10%,LM
moonshotai/Kimi-K2.5,20.83%,54.69%,,33.33%,,76.47%,82.95%,70.45%,53.57%,60.71%,64.06%,57.69%,39.53%,75.00%,62.02%,VLM
